itemId,tooltipUrl,id,type,layerName,roadwayName,description,locationDescription,eventSubType,startTime,endTime,lastUpdated,showOnMap,eventType,state,region,county,direction,location,lat,lon
Vermont511Incident--VT24-000472,/tooltip/Incidents/Vermont511Incident--VT24-000472?lang=%7Blang%7D&noCss=true,VT24-000472,Incidents,Incidents,VT-12,"VT-12 in Worcester is now open, Single Lane closures throughout the week as work continues. Motorists are advised of gravel surfaces throughout the work area. Delays to be expected. ",,Flood,"6/23/24, 7:13 PM",,"6/27/24, 11:19 AM",True,Flood,Vermont,Vermont Statewide,Washington,North,"[44.402709, -72.551049]",44.402709,-72.551049
Vermont511Incident--VT24-000514,/tooltip/Incidents/Vermont511Incident--VT24-000514?lang=%7Blang%7D&noCss=true,VT24-000514,Incidents,Incidents,US-5,US-5 in St. Johnsbury is reduced to ONE LANE just south of Interstate 91 Exit 20 by the State Police Barracks.,,Flood,"7/10/24, 9:37 PM",,"7/10/24, 9:44 PM",True,Flood,Vermont,Vermont Statewide,Caledonia,South,"[44.3978, -72.024744]",44.3978,-72.024744
Vermont511Incident--VT24-000518,/tooltip/IncidentClosures/Vermont511Incident--VT24-000518?lang=%7Blang%7D&noCss=true,VT24-000518,Incident Closures,IncidentClosures,US-5,US-5 in Passumpsic/ East Barnet is CLOSED at Kitchell Hill Rd ,,Flood,"7/10/24, 10:01 PM",,"7/11/24, 5:18 PM",True,Flood,Vermont,Vermont Statewide,Caledonia,North,"[44.356942, -72.046956]",44.356942,-72.046956
Vermont511Incident--VT24-000520,/tooltip/IncidentClosures/Vermont511Incident--VT24-000520?lang=%7Blang%7D&noCss=true,VT24-000520,Incident Closures,IncidentClosures,US-5,US-5 in Barnet is CLOSED at Mill Hill Road for an EXTENDED PERIOD due to complete washout of the roadway and likely loss of the bridge over Stevens River near the old Barnet Village Store.,,Flood,"7/10/24, 10:24 PM",,"7/10/24, 10:30 PM",True,Flood,Vermont,Vermont Statewide,Caledonia,North,"[44.294384, -72.052276]",44.294384,-72.052276
Vermont511Incident--VT24-000522,/tooltip/Incidents/Vermont511Incident--VT24-000522?lang=%7Blang%7D&noCss=true,VT24-000522,Incidents,Incidents,VT-18,UPDATE: VT-18 in St. Johnsbury from Lower Waterford to NH line at Shadow Lake Road is closed to ONE LANE due to flooding.,,Flood,"7/10/24, 11:08 PM",,"7/11/24, 12:35 PM",True,Flood,Vermont,Vermont Statewide,Caledonia,South,"[44.352526, -71.901886]",44.352526,-71.901886
Vermont511Incident--VT24-000525,/tooltip/IncidentClosures/Vermont511Incident--VT24-000525?lang=%7Blang%7D&noCss=true,VT24-000525,Incident Closures,IncidentClosures,VT-100B,VT-100B in Moretown  is CLOSED for an EXTENDED PERIOD 1/10 of a mile north of the intersection with VT-100 due to the washout of the bridge over Dowsville Brook.,,Flood,"7/11/24, 12:04 AM",,"7/11/24, 12:06 AM",True,Flood,Vermont,Vermont Statewide,Washington,North,"[44.242913, -72.775232]",44.242913,-72.775232
Vermont511Incident--VT24-000531,/tooltip/IncidentClosures/Vermont511Incident--VT24-000531?lang=%7Blang%7D&noCss=true,VT24-000531,Incident Closures,IncidentClosures,US-302,US-302 is CLOSED just east of VT 232 in Groton due to multiple washouts.,,Flood,"7/11/24, 1:16 AM",,"7/12/24, 6:53 AM",True,Flood,Vermont,Vermont Statewide,Caledonia,East,"[44.219548, -72.22658]",44.219548,-72.22658
Vermont511Incident--VT24-000532,/tooltip/IncidentClosures/Vermont511Incident--VT24-000532?lang=%7Blang%7D&noCss=true,VT24-000532,Incident Closures,IncidentClosures,VT-100,UPDATE: VT-100 in South Duxbury from Ward Hill Road to VT-100B in Moretown is CLOSED due to flooding with an associated bridge closure.,,Flood,"7/11/24, 1:29 AM",,"7/11/24, 9:14 AM",True,Flood,Vermont,Vermont Statewide,Washington,South,"[44.250487, -72.786885]",44.250487,-72.786885
Vermont511Incident--VT24-000537,/tooltip/IncidentClosures/Vermont511Incident--VT24-000537?lang=%7Blang%7D&noCss=true,VT24-000537,Incident Closures,IncidentClosures,VT-12,VT-12 is CLOSED from Elmore to Wrightsville due to multiple washouts.,,Flood,"7/11/24, 2:10 AM",,"7/11/24, 2:11 AM",True,Flood,Vermont,Vermont Statewide,Lamoille,North,"[44.498609, -72.517726]",44.498609,-72.517726
Vermont511Incident--VT24-000541,/tooltip/IncidentClosures/Vermont511Incident--VT24-000541?lang=%7Blang%7D&noCss=true,VT24-000541,Incident Closures,IncidentClosures,US-2,US-2 in Plainfield is CLOSED between Coburn Road and VT-214 due to multiple washouts.,,Flood,"7/11/24, 3:02 AM",,"7/11/24, 3:04 AM",True,Flood,Vermont,Vermont Statewide,Washington,East,"[44.273934, -72.44964]",44.273934,-72.44964
