Town,Coordinates,Lat,Lon
Berlin,"44.212017256672986, -72.6048469874814",44.212017256672986, -72.6048469874814
Underhill,"44.53913956840609, -72.88605744545727",44.53913956840609, -72.88605744545727
Barre,"44.19921517798564, -72.50785760531777",44.19921517798564, -72.50785760531777
Richmond,"44.39613099295161, -72.99684793816985",44.39613099295161, -72.99684793816985
Middlesex,"44.32076089907382, -72.63256609913503",44.32076089907382, -72.63256609913503
Northfield,"44.14515857961542, -72.68099096502377",44.14515857961542, -72.68099096502377
Moretown,"44.257048672961865, -72.72095402489148",44.257048672961865, -72.72095402489148
Greensboro,"44.602997626616514, -72.28816037943383",44.602997626616514, -72.28816037943383
Lyndon,"44.51498484671922, -72.0116828853292",44.51498484671922, -72.0116828853292
Stowe,"44.48204205084612, -72.71944127530966",44.48204205084612, -72.71944127530966
Plainfield,"44.242714052953254, -72.40930756563246",44.242714052953254, -72.40930756563246
Lyndon,"44.51440395508125, -72.01208813909801",44.51440395508125, -72.01208813909801
